Subject,Task,Task id,Delegability,Trust,Importance,Difficulty,Self-efficacy,Intrinsic-motivation,Accountability,Goal-mastery-orientation,Why delegate?,Why not delegate?
0,Managing all your finances and investments.,22,1,2,4,2,4,1,2,1,It's easy and rote,
0,Driving a family member to the hospital during a medical emergency.,14,2,3,5,3,4,1,5,1,,
0,Finding and choosing a new roomate.,2,1,2,4,4,3,2,2,2,I don't think I'm very good at it,
0,Deciding what people to invite to a party.,11,2,3,4,2,5,4,2,1,,
0,Driving to work.,12,1,1,3,2,5,1,4,1,i don't like doing it,
0,"Planning and booking a weekend vacation: destination, travel, accommodations, events.",23,2,2,4,4,3,4,3,3,,
0,Chatting with a local in a foreign country where you don't speak the language.,7,1,1,3,5,2,3,3,4,It would be hard to learn language on the fly,
1,Drawing or painting something meaningful to you.,10,2,4,2,5,2,2,1,2,,
1,Breaking up with your romantic partner.,18,2,4,5,5,4,5,4,5,,
1,Paying your bills.,4,1,1,5,1,5,1,5,2,It does not interest me,
1,Reading a novel.,29,3,4,5,2,5,5,2,3,,I do not need help with this task
1,Cleaning your house.,26,1,2,4,4,5,1,4,3,This task does not interest me,
1,"Planning and booking a weekend vacation: destination, travel, accommodations, events.",23,1,1,4,2,4,4,3,4,,
1,Answering emails from customers at your job.,30,2,3,4,3,4,2,4,4,,
2,Buying art for your home.,3,2,3,2,2,5,4,1,1,,
2,Voting in a federal election.,5,3,5,4,4,4,3,4,2,,personal/civic duty precludes it
2,Drawing or painting something meaningful to you.,10,3,3,1,4,2,3,1,4,,would maybe be disruptive; want it to be fun.
2,Picking a movie to watch with a group of friends.,8,2,3,3,4,3,2,5,1,,
2,Writing a birthday card to one of your parents.,6,3,2,3,2,5,2,4,1,,Needs to come from me; ethics
2,Cleaning your house.,26,1,2,2,1,5,1,1,1,"not a fun task, but straightforward",
2,Deciding what people to invite to a party.,11,3,5,3,4,5,2,5,1,,Wouldn't trust it
3,Finding and choosing a new roomate.,2,2,3,4,3,4,3,3,1,,
3,Drawing or painting something meaningful to you.,10,2,3,4,4,3,5,1,4,,
3,"Planning and booking a weekend vacation: destination, travel, accommodations, events.",23,2,3,4,3,4,5,1,3,,
3,Picking a movie to watch with a group of friends.,8,2,4,3,3,4,4,1,1,,
3,Planning a holiday party at work.,16,1,2,2,3,3,1,1,1,boring,
3,Finding and picking a new roommate.,19,2,3,3,3,3,3,1,1,,
3,Buying a house.,13,2,3,3,4,3,2,1,2,,
4,Finding and scheduling events for you to attend in your free time.,15,2,3,2,1,5,5,2,3,,
4,Paying your bills.,4,2,3,4,1,5,4,2,2,,
4,Deciding what people to invite to a party.,11,2,3,4,4,3,2,2,2,,
4,Voting in a federal election.,5,3,4,4,2,4,4,2,4,,
4,Diagnosing and repairing your car's engine problems.,20,2,4,5,5,1,2,2,2,,
4,Writing your wedding vows.,9,3,4,2,2,2,2,2,2,,
4,Finding and picking a new roommate.,19,2,3,5,5,2,2,2,2,,
5,Breaking up with your romantic partner.,18,2,4,5,5,4,2,2,2,,
5,Chatting with a local in a foreign country where you don't speak the language.,7,1,3,4,5,3,4,2,3,,
5,Driving a family member to the hospital during a medical emergency.,14,3,4,5,5,5,1,5,3,,
5,Voting in a federal election.,5,3,5,5,5,5,1,4,3,,I don't want AI to decide fate of my country
5,Deciding what people to invite to a party.,11,2,3,4,4,4,4,3,4,,
5,Planning a holiday party at work.,16,1,2,2,3,2,2,4,4,,
5,Buying art for your home.,3,3,4,5,5,2,3,3,5,,
6,Paying your bills.,4,2,2,5,1,5,4,2,4,,
6,Breaking up with your romantic partner.,18,2,3,2,4,3,2,2,2,,
6,Cleaning your house.,26,1,1,4,3,3,1,2,2,,
6,Voting in a federal election.,5,3,4,4,2,4,3,1,3,,
6,Diagnosing and repairing your car's engine problems.,20,1,1,3,2,2,2,2,2,,
6,Drawing or painting something meaningful to you.,10,3,4,1,4,2,1,1,1,,
6,Writing your wedding vows.,9,2,3,4,4,3,2,3,2,,
7,Diagnosing and repairing your car's engine problems.,20,1,3,5,3,3,2,2,2,The infrastructure for detecting car engine problems is already available (I have one).  It would be nice to have it self-repair as well.,
7,Texting a joke to a friend.,25,3,4,3,1,5,4,3,3,,Too easy.
7,Deciding what people to invite to a party.,11,2,4,4,1,5,4,3,3,,
7,Picking a movie to watch with a group of friends.,8,2,2,2,2,2,3,2,2,,
7,Cleaning your house.,26,2,3,4,4,4,2,4,1,,
7,Finding and scheduling events for you to attend in your free time.,15,2,3,4,3,4,4,4,4,,
7,Breaking up with your romantic partner.,18,3,4,4,4,3,2,2,2,,Too personal
8,Filling out and submitting a job application.,27,2,3,5,3,5,1,2,1,,
8,Voting in a federal election.,5,3,5,5,1,5,4,5,4,,Voters should be educated on what they are voting on. Machines should not decide elections. 
8,Texting a joke to a friend.,25,3,2,3,1,5,5,2,3,,I enjoy coming up with jokes. 
8,Serving on jury duty and deciding if a defendant is guilty.,28,1,3,5,3,2,1,4,1,I have no interest in serving on a jury.,
8,Creating a personal nutrition plan and tracking your diet.,17,1,2,4,4,3,3,4,4,The less effort I have to put towards a diet the more likely I am to follow it. ,
8,Driving to work.,12,1,1,3,1,5,2,4,1,Traffic sucks. Bring on the autonomous cars. ,
8,Writing a birthday card to one of your parents.,6,2,1,3,3,3,1,5,1,,
9,Planning a holiday party at work.,16,1,2,3,4,4,2,1,2,It involves a lot of people and it's hard for a non-professional planner to plan it,
9,Deciding what people to invite to a party.,11,2,3,5,4,4,4,2,3,,
9,Chatting with a local in a foreign country where you don't speak the language.,7,3,3,5,5,4,5,3,5,,I like learning new languages
9,Diagnosing and repairing your car's engine problems.,20,1,1,4,5,2,4,2,4,I'm not familiar with a car's engine at all,
9,Buying a house.,13,2,3,5,5,2,4,4,5,,
9,Deciding and ordering food for dinner.,24,1,1,2,3,2,3,2,2,It's a pretty trivial task that takes up a lot more time than I would like,
9,Texting a joke to a friend.,25,2,3,3,4,2,4,3,4,,
10,Deciding what people to invite to a party.,11,3,5,5,3,5,5,1,3,,An Ai can see what friends you have online but may nto be able to determine how good of friends you are in person as apposed to online
10,Finding and picking a new roommate.,19,2,4,5,5,5,5,5,5,,
10,Finding and choosing a new roomate.,2,2,4,5,5,5,5,5,5,,
10,Planning a holiday party at work.,16,3,5,3,4,5,4,5,3,,AI have never been to a party before why would it know who to throw a good one
10,Writing a birthday card to one of your parents.,6,3,5,5,1,5,4,4,3,,It would be extremely impersonal to do this to save the 5 minutes it takes to write a card. 
10,Drawing or painting something meaningful to you.,10,1,5,5,5,5,5,1,5,"I would be interested to see the kind of art that an AI would create. What type of recurring themes appear. However, Art is an expression of humanity and that is not something that I value in a computer",
10,Deciding and ordering food for dinner.,24,3,5,3,1,5,3,3,3,,Why does the AI know what I want to eat? thats weird and I do not like it
11,Deciding what people to invite to a party.,11,2,4,3,1,5,2,1,1,,
11,Driving to work.,12,1,4,2,2,2,1,4,1,I'm distracted,
11,Writing a short story for fun.,1,3,5,5,5,4,5,1,5,,this is a task between me and my mind
11,Paying your bills.,4,1,3,4,2,5,1,5,1,don't care,
11,Breaking up with your romantic partner.,18,3,5,5,5,4,4,4,4,,because it's inherently human
11,Serving on jury duty and deciding if a defendant is guilty.,28,2,4,5,5,1,1,5,2,,
11,Picking a movie to watch with a group of friends.,8,2,4,2,5,2,1,5,2,,
12,Cleaning your house.,26,1,3,5,3,4,1,4,1,"This is already what happens almost everywhere, except the delegation is to an AI, not a regular employee. I might reconsider if the person performing this task is dependent on a job.",
12,Answering emails from customers at your job.,30,2,2,5,1,5,4,5,4,,
12,Deciding what people to invite to a party.,11,2,1,3,2,2,2,4,2,,
12,Writing a birthday card to one of your parents.,6,3,3,5,1,5,5,5,1,,"Asking an AI to write a birthday card to your parents is like asking a close friend or sibling to write the card. Even if your parents can't tell the difference, it defeats the purpose of writing the card in my opinion."
12,Drawing or painting something meaningful to you.,10,3,4,3,5,1,5,1,5,,"If I choose to create art, it is to enjoy the creative process. There may be some creative ways for an AI to assist me, but I would still want to be in control of that creative process."
12,Deciding and ordering food for dinner.,24,2,1,2,1,5,3,2,1,,
12,Texting a joke to a friend.,25,3,2,2,4,3,5,1,4,,
13,Cleaning your house.,26,1,2,2,4,3,1,3,2,"I’m bad at it, I hate doing it.",
13,Managing all your finances and investments.,22,2,4,5,4,2,3,1,4,,
13,Buying a house.,13,2,3,5,5,1,4,1,4,,
13,Deciding and ordering food for dinner.,24,2,3,5,2,5,5,4,5,,
13,Paying your bills.,4,2,3,5,3,1,2,1,4,,
13,Chatting with a local in a foreign country where you don't speak the language.,7,1,1,5,4,2,4,2,3,"It would help me communicate better, and I wouldn’t have to use a human translator",
13,Picking a movie to watch with a group of friends.,8,2,4,3,3,2,3,4,5,,
14,Writing your wedding vows.,9,3,5,3,4,4,2,2,2,,They are personal
14,Creating a personal nutrition plan and tracking your diet.,17,1,3,4,3,4,4,2,5,Happy for someone else to take over this task,
14,Answering emails from customers at your job.,30,2,4,5,4,3,2,4,3,,
14,Planning a holiday party at work.,16,2,4,3,5,2,2,4,2,,
14,Chatting with a local in a foreign country where you don't speak the language.,7,2,3,4,5,2,4,3,5,,
14,Deciding and ordering food for dinner.,24,2,3,5,2,5,5,5,4,,
14,Finding and scheduling events for you to attend in your free time.,15,2,3,4,4,3,4,2,4,,
15,Cleaning your house.,26,1,2,2,4,5,1,3,1,It’s a chore better handled by a capable machine,
15,Serving on jury duty and deciding if a defendant is guilty.,28,2,3,5,5,3,4,5,4,,
15,Diagnosing and repairing your car's engine problems.,20,2,2,5,4,1,1,1,4,,
15,Managing all your finances and investments.,22,2,3,5,5,3,3,5,4,,
15,Reading a novel.,29,2,2,5,3,4,4,3,5,,
15,Picking a movie to watch with a group of friends.,8,2,2,3,2,4,3,3,3,,
15,Driving a family member to the hospital during a medical emergency.,14,2,3,5,2,5,1,5,3,,
16,"Planning and booking a weekend vacation: destination, travel, accommodations, events.",23,2,3,1,3,5,5,3,3,,
16,Drawing or painting something meaningful to you.,10,3,4,5,3,5,5,3,5,,"Yes, but I would not mind learning how to draw from an AI in the same way I do a teacher, but I don't want it to do the work."
16,Finding and choosing a new roomate.,2,2,3,4,2,5,2,3,3,,
16,Managing all your finances and investments.,22,2,4,5,5,3,4,5,5,,
16,Serving on jury duty and deciding if a defendant is guilty.,28,3,5,4,3,3,3,5,3,,Machines should have no involvement in our justice system.
16,Buying a house.,13,2,3,2,4,5,3,3,3,,
