Task,Title,Source,Date,Link,Technology,Chenhao Vote,Brian Vote,Avg
Playing chess,"Michael Hiltzik/GOLDEN STATE; In Chess, Qualified Respect for Computers",Los Angeles Times,2005,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/422028439?accountid=14503,,2,2,2
"Showing targeted, personalized ads based on personalities or emotional states",FACEBOOK'S TARGETED ADS ARE MORE COMPLEX THAN IT LETS ON,,18-Apr,https://www.wired.com/story/facebooks-targeted-ads-are-more-complex-than-it-lets-on/,ML,3,3,3
Identifying criminals in public places and alerting the police,Microsoft Urges Rules for Facial Recognition,New York Times,18-Jul,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2069277763?accountid=14503,facial recognition,3,3,3
Identifying and tagging users in social media photos,Microsoft Urges Rules for Facial Recognition,New York Times,18-Jul,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2069277763?accountid=14504,facial recognition,2,2,2
Verify Uber drivers' identities with facial recognition,Microsoft Urges Rules for Facial Recognition,New York Times,18-Jul,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2069277763?accountid=14505,facial recognition,2,2,2
Interview job applicants and rate candidates according to verbal & non-verbal cues,The Hidden Dangers Of Facial Analysis,New York Times,18-Jun,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2057762809?accountid=14503,facial recognition,3,3,3
Identify people who attended a political rally,The Hidden Dangers Of Facial Analysis,New York Times,18-Jun,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2057762809?accountid=14503,facial recognition,2,2,2
Identify where crime might occur next and who might commit it,The Worrisome Future of Policing Technology,New York Times,18-Jun,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2057920613?accountid=14503,facial recognition/HunchLab,2,3,2.5
Locate a missing child using facial recognition,The Worrisome Future of Policing Technology,New York Times,18-Jun,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2057920613?accountid=14504,facial recognition,3,3,3
Use drones to map traffic patterns and accidents ,The Worrisome Future of Policing Technology,New York Times,18-Jun,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2057920613?accountid=14505,,2,2,2
Pick which online users to show targeted political ads,How the Social Media Giant Collects and Uses Your Data,New York Times,18-Apr,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2023882629?accountid=14503,,2,1,1.5
Create convincingly-real video face-swaps,"Here Come the Fake Videos, Too",New York Times,18-Mar,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2010227818?accountid=14503,,3,1,2
Content moderation; Find and remove inappropriate photos and videos from social media posts,How Artificial Intelligence Is Edging Its Way Into Our Lives,New York Times,18-Feb,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2001133389?accountid=14503,,3,3,3
Curb the spread of misinformation on social media by flagging misleading viral articles,How Artificial Intelligence Is Edging Its Way Into Our Lives,New York Times,18-Feb,https://colorado.idm.oclc.org/login?url=https://search-proquest-com.colorado.idm.oclc.org/docview/2001133389?accountid=14504,,3,3,3
Curb the spread of misinformation in private messages by flagging texts with misleading viral articles,"On WhatsApp, fake news is fast - and can be fatal",The Washington Post,18-Jul,,,2,2,2
