Task,Link,Chenhao Vote,Brian Vote
Doing your taxes,,,1
Deciding what people to invite to a party,,,2
Planning and monitoring your nutrition and diet,,,2
Monitoring your bank/credit card statements for suspicious charges,,,1
Managing your finances/investments,,,1
Picking out and buying a new car,,,3
Selling your used car,,,2
Cleaning your house,,,1
Breaking up with your romantic partner,,,1
Making art: drawing or painting something,,,1
Drawing a portrait of your dog,,,3
Paying your bills,,,1
"While traveling in a foreign country where your language is not spoken, asking for directions to your hotel",,,3
Translating a letter you've written to a business associate in a language you don't speak,,,1
Translating a letter you've written to a close friend in a language you don't speak,,,2
Diagnosing and repairing your car's engine problems,,,1
Translating an article you'd like to read into english from a foreign language,,,1
Buying art to hang on your bedroom wall,,,1
Writing a birthday card to your mother,,,1
Filling out and submitting a job application,,,1
Picking photos to upload to social media,,,1
Babysitting your child while you're at work,,,1
Picking a movie to watch with a group of friends,,,3
Picking a movie to watch on your own,,,1
Picking someone to go on a date with,,,2
Asking someone out on a date,,,2
Picking an activity for you to do on a first date,,,2
Driving you to work (self-driving car),,,1
Driving you and a group of friends on a roadtrip,,,2
"Planning and booking a vacation, including the destination",,,1
Picking news articles for you to read,,,2
Texting your friends jokes they might like,,,2
Performing maintenance on your house,,,3
Picking and ordering something to eat for dinner,,,1
Playing against your friend in a hand of cards,,,2
Deciding whether to hit or stay in blackjack,,,3
Buying new clothes for you to wear,,,1
Picking out clothes to wear in the morning,,,1
Scheduling an important business meeting with a few coworkers,,,1
Scheduling a meeting with some potential business customers for work,,,3
Picking where to eat for a group lunch with coworkers,,,2
Recommending a movie for a friend to watch,,,3
Editing an internet forum argument before you post it ,,,1
Writing and posting an opinion to an online discussion forum,,,2
Buying a house,,,2
Arguing your case if you’re a defendant in a criminal court,,,2
Playing a video game against your friends,,,2
Doing your math homework,,,2
Writing your wedding vows,,,2
Writing a speech to give at your best friend's wedding,,,2
Deciding on concerts to go to & buying tickets,,,1
Responding to work emails,,,1
Picking charities to donate to,,,2
Picking what music to listen to,,,1
Making a music playlist for a party,,,2
Scheduling and prompting events for your free time,,,2
Removing spam from your inbox,,,2
Giving medical advice to your parents,,,3
Picking a handyman to repair a problem in your house,,,2
Deciding whether or not to go to a party,,,2
Picking a topic to write a short story about,,,1
Writing a short story,,,2
Cooking dinner,,,1
Remodeling your house,,,3
Doing the laundry,,,2
Deciding whether or not to hire a new candidate at your job,,,1
Planning your wedding,,,1
Buying a birthday present for an acquaintance,,,3
Buying a birthday present for a friend,,,1
Navigating/giving driving directions in an unfamiliar city,,,2
Driving a family member to the hospital during a medical emergency,,,2
Sending thank-you notes for wedding presents you received,,,1
Finding and picking a new roommate,,,1
Editing a friend's blog post before they post it,,,3
Editing a friend's college application before they submit it,,,3
"You think you might have the flu. Deciding if you do, and what treatment to take",,,1
Caring for a friend sick with the flu,,,3
Caring for an elderly relative,,,1
Taking your dog to the dog park,,,3
Texting to respond to your parents asking how your day was,,,2
Playing the guitar (or another musical instrument),,,1
"Picking what to order off a menu, if the menu is in an unfamiliar language in a foreign country",,,2
Figure out how to ... ?,,,3
Voting in federal elections,,,1
Keeping track of your todo list and remind you at the correct time,,,1
Figuring out why your back keeps hurting,,,3
Figuring out how much your house is worth (home appraisal),,,1
Developing a personal exercise plan,,,1
Picking a phone or desktop wallpaper image,,,3
Serving on jury duty: decide if defendant is guilty,,,1
Ordering supplies needed for your office/coworkers,,,2
Getting your hair cut,,,1
Recording your day in your journal,,,1
Figuring out if something is legal,,,2
Chatting with an acquaintance online,,,2
Protesting a local ordinance using an online campaign,,,3
Thinking of conversation topics while hanging out with friends,,,1
Drawing a picture,,,3
Creative writing,,,2
Telling a story (personal anecdote) to a group of friends,,,2
Improving your skill level at skiing,,,2
Brushing your teeth,,,2
Locking and unlocking your house/apartment door,,,1
Finding a spot and parking your car ,,,1
Eat dinner,,,3
Chatting with your friends,,,1
Watching a movie,,,2
Planning a holiday party at work,,,1
Solving a rubix cube / jigsaw puzzle,,,1
Planning a party at your house,,,3
Taking photos of important moments in your life,,,2
Taking photos during a vacation,,,1
"Analyzing your performance at sports (e.g. running gait, skiing, golf/baseball swing)",,,1
Tutoring your child in elementary school math,,,1
Teaching you how to cook,,,2
